run_id,run_dir,input_source,n_total,n_train,n_val,n_test,split,model,accuracy,macro_f1,weighted_f1
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,heuristic,1.0,1.0,1.0
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,selected_non_heuristic,0.5,0.49760596509822513,0.4824491674336876
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.40625,0.4047754714421381,0.37965506715506714
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.46875,0.47026657552973344,0.4498462064251538
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.5,0.49760596509822513,0.4824491674336876
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,tfidf_logreg_c0.25,0.421875,0.42063492063492064,0.3921130952380953
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,tfidf_logreg_c1.0,0.453125,0.45681511470985153,0.44009362348178127
20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/ai/run_20260529_145739,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/ai,427,298,64,65,validation,tfidf_logreg_c4.0,0.40625,0.4047716988893459,0.37859934183463595
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,test,heuristic,0.4461538461538462,0.40682302771855006,0.5510644579301295
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,test,tfidf_linear_svc_c0.25,0.7538461538461538,0.5911949685534591,0.7062409288824384
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,heuristic,0.5,0.3776860378956283,0.5619641155922516
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,selected_non_heuristic,0.65625,0.5594493116395495,0.5917162077596996
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.65625,0.5594493116395495,0.5917162077596996
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.640625,0.5477726574500767,0.5797907066052227
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.640625,0.5477726574500767,0.5797907066052227
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,tfidf_logreg_c0.25,0.640625,0.4266666666666667,0.6525000000000001
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,tfidf_logreg_c1.0,0.640625,0.4105691056910569,0.6339557926829269
20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/runs/manual/run_20260529_145744,outputs/stability_5x/20260529_145642/seed_44/20260529_145737/splits/manual,427,298,64,65,validation,tfidf_logreg_c4.0,0.6875,0.4272030651340996,0.662805316091954
20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/runs/ai/run_20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/splits/ai,427,298,64,65,test,heuristic,1.0,1.0,1.0
20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/runs/ai/run_20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/splits/ai,427,298,64,65,test,tfidf_logreg_c4.0,0.5846153846153846,0.5378352490421457,0.5662024756852343
20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/runs/ai/run_20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/splits/ai,427,298,64,65,validation,heuristic,1.0,1.0,1.0
20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/runs/ai/run_20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/splits/ai,427,298,64,65,validation,selected_non_heuristic,0.4375,0.41918626353116833,0.42879805897723033
20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/runs/ai/run_20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c0.25,0.375,0.3654315136794921,0.3623967003347057
20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/runs/ai/run_20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c1.0,0.390625,0.3788888888888889,0.3846875
20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/runs/ai/run_20260529_145749,outputs/stability_5x/20260529_145642/seed_45/20260529_145748/splits/ai,427,298,64,65,validation,tfidf_linear_svc_c4.0,0.390625,0.3777414075286416,0.38410392798690673
